Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
1000,"J. Stevens","The effects of fishing on sharks, rays, and chimaeras (chondrichthyans), and the implications for marine ecosystems",2000,"ICES Journal of Marine Science","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0033740604&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033740604&origin=inward",1,"2020-10-09 21:34:25","Conference Paper","10.1006/jmsc.2000.0724","1054-3139","https://api.elsevier.com/content/abstract/scopus_id/0033740604",57,3,476,494,1000,50.00,1000,1,20,""
789,"R. Myers","Cascading effects of the loss of apex predatory sharks from a coastal ocean",2007,"Science","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=34147110810&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34147110810&origin=inward",2,"2020-10-09 21:34:25","Article","10.1126/science.1138657","0036-8075","https://api.elsevier.com/content/abstract/scopus_id/34147110810",315,5820,1846,1850,789,60.69,789,1,13,""
784,"J. Baum","Collapse and conservation of shark populations in the Northwest Atlantic",2003,"Science","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0037449550&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0037449550&origin=inward",3,"2020-10-09 21:34:25","Article","10.1126/science.1079777","0036-8075","https://api.elsevier.com/content/abstract/scopus_id/0037449550",299,5605,389,392,784,46.12,784,1,17,""
585,"N.K. Dulvy","Extinction risk and conservation of the world's sharks and rays",2014,"eLife","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84898714955&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84898714955&origin=inward",4,"2020-10-09 21:34:25","Article","10.7554/eLife.00590.001","2050-084X","https://api.elsevier.com/content/abstract/scopus_id/84898714955",2014,3,,,585,97.50,585,1,6,""
583,"E. Cortés","Standardized diet compositions and trophic levels of sharks",1999,"ICES Journal of Marine Science","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0032701944&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032701944&origin=inward",5,"2020-10-09 21:34:25","Article","10.1006/jmsc.1999.0489","1054-3139","https://api.elsevier.com/content/abstract/scopus_id/0032701944",56,5,707,717,583,27.76,583,1,21,""
470,"N. Dulvy","You can swim but you can't hide: The global status and conservation of oceanic pelagic sharks and rays",2008,"Aquatic Conservation: Marine and Freshwater Ecosystems","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=50149086306&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=50149086306&origin=inward",6,"2020-10-09 21:34:25","Article","10.1002/aqc.975","1052-7613","https://api.elsevier.com/content/abstract/scopus_id/50149086306",18,5,459,482,470,39.17,470,1,12,""
447,"F. Ferretti","Patterns and ecosystem consequences of shark declines in the ocean",2010,"Ecology Letters","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77954805602&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77954805602&origin=inward",7,"2020-10-09 21:34:25","Review","10.1111/j.1461-0248.2010.01489.x","1461-023X","https://api.elsevier.com/content/abstract/scopus_id/77954805602",13,8,1055,1071,447,44.70,447,1,10,""
424,"A. Greenberg","A new antigen receptor gene family that undergoes rearrangement and extensive somatic diversification in sharks",1995,"Nature","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0028962371&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028962371&origin=inward",8,"2020-10-09 21:34:25","Article","10.1038/374168a0","0028-0836","https://api.elsevier.com/content/abstract/scopus_id/0028962371",374,6518,168,173,424,16.96,424,1,25,""
385,"A. Martin","Rates of mitochondrial DNA evolution in sharks are slow compared with mammals",1992,"Nature","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0026590789&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0026590789&origin=inward",9,"2020-10-09 21:34:25","Article","10.1038/357153a0","0028-0836","https://api.elsevier.com/content/abstract/scopus_id/0026590789",357,6374,153,155,385,13.75,385,1,28,""
384,"B. Venkatesh","Elephant shark genome provides unique insights into gnathostome evolution",2014,"Nature","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84892160187&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84892160187&origin=inward",10,"2020-10-09 21:34:25","Article","10.1038/nature12826","0028-0836","https://api.elsevier.com/content/abstract/scopus_id/84892160187",505,7482,174,179,384,64.00,384,1,6,""
